requested_work_id,award_position,award_openalex_id,award_display_name,funder_award_id,funder_openalex_id,funder_display_name,award_doi
W4393207125,3,G249262831,Quantum Software Consortium,024.003.037,F4320321800,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,
W4393207125,4,G2578584357,,024.003.037/3368,F4320321800,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,
W4393207125,5,G420050720,,024.003,F4320321800,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,
W4393207125,6,G7392226337,,PPS2007,F4320321879,Fujitsu,
W4393207125,7,G7422664581,,PPS2007,F4320321012,Technische Universiteit Delft,
W4399736965,1,G1404049065,,FA9550-21-1-0209,F4320338279,Air Force Office of Scientific Research,
W4399736965,2,G1770223817,,FA864921P0781,F4320338294,Air Force Research Laboratory,
W4399736965,3,G2882288540,,W911NF2310077,F4320338281,Army Research Office,
W4399736965,4,G3162985271,,W911NF2110325,F4320333591,Multidisciplinary University Research Initiative,
W4399736965,5,G4629941602,QuIC - TaQS: Interconnects for a Superconducting-Atomic Hybrid Quantum Network,2137642,F4320306076,National Science Foundation,
W4399736965,6,G6167497367,,FA9550-19-1-0399,F4320338279,Air Force Office of Scientific Research,
W4399736965,7,G7576470222,NSF Engineering Research Center for Quantum Networks (CQN),1941583,F4320306076,National Science Foundation,
W4399736965,8,G8672390710,,2020-71479,F4320306079,David and Lucile Packard Foundation,
W4399736965,9,G922915270,QII-TAQS: Quantum Metrological Platform for Single-Molecule Bio-Sensing,1936118,F4320306076,National Science Foundation,
W4401421595,1,G7576470222,NSF Engineering Research Center for Quantum Networks (CQN),1941583,F4320306076,National Science Foundation,
W4401421595,2,G7675343242,,W911NF-21-2-0041,F4320338281,Army Research Office,
W4393105575,1,G4413222662,Collaborative Research: CNS Core: Medium: Design and Analysis of Quantum Networks for Entanglement Distribution,1955744,F4320306076,National Science Foundation,
W4393105575,2,G7576470222,NSF Engineering Research Center for Quantum Networks (CQN),1941583,F4320306076,National Science Foundation,
W4399671557,1,G3155092797,,W911NF-21-1-0184,F4320338281,Army Research Office,
W4399671557,2,G3460178702,Low dimensional quantum fluids,219400,F4320320924,Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,
W4399671557,3,G5938965488,Low dimensional quantum fluids,188687,F4320320924,Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,
W4399671557,4,G6369637627,Non-perturbative approaches to strongly correlated many-body systems,212899,F4320320924,Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,
W4399671557,5,G6780731104,,FA9550-21-1-0216,F4320338279,Air Force Office of Scientific Research,
W3208949895,1,G855168022,,DENA-0003525,F4320332369,National Nuclear Security Administration,
W4417150983,1,G1821403746,"Nonlinear nanophotonics circuits: building blocks for optical frequency synthesis, filtering and signal processing",18/15577-5,F4320320997,Fundação de Amparo à Pesquisa do Estado de São Paulo,
W4417150983,2,G2094394093,,80NSSC23PB442,F4320306101,National Aeronautics and Space Administration,
W4417150983,3,G4198572546,QuIC-TAQS: Integrated Lithium Niobate Quantum Photonics Platform,2137723,F4320306076,National Science Foundation,
W4417150983,4,G4720003262,,N00014-22,F4320337345,Office of Naval Research,
W4417150983,5,G485488592,,A50791,F4320310598,Amazon Web Services,
W4417150983,6,G7425413337,,-0001,F4320337345,Office of Naval Research,
W4417150983,7,G7576470222,NSF Engineering Research Center for Quantum Networks (CQN),1941583,F4320306076,National Science Foundation,
W4417150983,8,G8862277691,,80NSSC22K0262,F4320306101,National Aeronautics and Space Administration,
W4417150983,9,G8876996369,,N00014,F4320337345,Office of Naval Research,
W4417150983,10,G8883787402,,N00014-22-C-1041,F4320337345,Office of Naval Research,
W4405367664,1,G1442400458,QuSeC-TAQS: Nanoscale Covariance Magnetometry with Diamond Quantum Sensors,2326767,F4320306076,National Science Foundation,
W4405367664,2,G1910969781,,11301224010717,F4320321169,Xi’an Jiaotong University,
W4405367664,3,G1932254719,,HR0011-24-9-0361,F4320332180,Defense Advanced Research Projects Agency,
W4405367664,4,G2882288540,,W911NF2310077,F4320338281,Army Research Office,
W4405367664,5,G3067963855,,W911NF-18-1-0020,F4320338281,Army Research Office,
W4405367664,6,G4629941602,QuIC - TaQS: Interconnects for a Superconducting-Atomic Hybrid Quantum Network,2137642,F4320306076,National Science Foundation,
W4405367664,7,G7576470222,NSF Engineering Research Center for Quantum Networks (CQN),1941583,F4320306076,National Science Foundation,
W4405367664,8,G7796153478,,HR0011-24-9-0359,F4320332180,Defense Advanced Research Projects Agency,
W4405367664,9,G8232580466,Collaborative Research: FET: Medium: Design and Implementation of Quantum Databases,2312755,F4320306076,National Science Foundation,
W4405367664,10,G8672390710,,2020-71479,F4320306079,David and Lucile Packard Foundation,
W4405367664,11,G922915270,QII-TAQS: Quantum Metrological Platform for Single-Molecule Bio-Sensing,1936118,F4320306076,National Science Foundation,
W4385769313,1,G1872762428,,N000142312296,F4320337345,Office of Naval Research,
W4385769313,2,G434337789,,HORIZON2020,F4320320300,European Commission,
W4385769313,3,G5443090575,,PE 0000023,F4320320300,European Commission,
W4385769313,4,G777498305,,PE0000023-NQSTI,F4320320300,European Commission,
