"ua_author_names","n"
"Jinli Chen",2
"Ji‐Hyun Kim",2
"Joanna Joseph",2
"Jocelyn Navarro",2
"Joe K. Gerald",2
"Joel A. Biederman",2
"Joel Funk",2
"John C. Palumbo",2
"John L. Bass",2
"John M. Hill",2
"John M. Ruiz",2
"John M. Ryniawec",2
"John Picton",2
"John R. Schaibley",2
"John W. McLean",2
"John W. Olsen",2
"Johnny Sayegh",2
"Jolie, Ruth Burgett",2
"Jonathan A. Sullivan",2
"Jonathan Giezendanner",2
"Jonathan J. Derbridge",2
"Jonathan Jae-an Crisman",2
"Jonathan King",2
"Jonathan Lifshitz",2
"Jonathan M. Weinberg",2
"Jonathan P. Yasmeh",2
"Jong‐Hyun Jeong",2
"Joonkil Ahn",2
"Jordan Gotwalt",2
"Jose Daniel Castro-Cisneros",2
"Jose Oviedo",2
"Joseph A. Bonito",2
"Joseph Braasch",2
"Joseph C. Giacalone",2
"Joseph Marshall",2
"Joseph Sabat",2
"Joshua A. Levine",2
"Joshua Balderman",2
"Joshua Liberman",2
"Joshua Mack",2
"Joshua Magnus",2
"Joshua McBeth",2
"Josiane Palma Lima",2
"Josie L. Mazzone",2
"Joslyn K Beard",2
"Joyce A. Schroeder",2
"Ju Gao",2
"Judith S. Gordon",2
"Judy Marquez Kiyama",2
"Julia Jernberg",2
"Julia M. Fisher",2
"Julia Muldoon",2
"Juliana D. Panhorst",2
"Julie E. Miller",2
"Julieta Fernández",2
"Jun Zhao",2
"Justin Keogh",2
"Jón T. Njardarson",2
"K. A. Bostroem",2
"K. A. Misselt",2
"K. Hersom",2
"K. Sen",2
"Kabir M. Hossain",2
"Kai Rou Tey",2
"Kai Smith",2
"Kalyan Chaliki",2
"Kanwal Bains",2
"Kareem El Naamani",2
"Karla Granados",2
"Karla L. Vargas",2
"Karthik Ainapurapu",2
"Kate Shea",2
"Katherine A. Hovanes",2
"Kathleen M. Kahle",2
"Kathryn E. Stoner",2
"Katlyn Victoria Nickels",2
"Katsanis, Emmanuel",2
"Keith Primeau",2
"Kelly A. Reynolds",2
"Kelly Krohn",2
"Kelsey Bernard",2
"Kelsey McDermott",2
"Kelvin W. Pond",2
"Kenneth J. Kokroko",2
"Kenneth Marcelino",2
"Kenneth V. Iserson",2
"Kevin A. Laverty",2
"Kevin Hurtado",2
"Kevin K. Hardegree-Ullman",2
"Khaled A. Ismail",2
"Khanh Kieu",2
"Kiley Pauck",2
"Kimberly J. Doty",2
"Kimberly Peace-Tuskey",2
"Kira Zeider",2
"Kiyan Saissan",2
"Kobus Barnard",2
"Konan Hara",2
"Kory A. Johnson",2
"Kray Luxbacher",2
"Krishna Prasad Ghanta",2
"Krishnaswami Vijayaraghavan",2
"Kristen M. Martinet",2
"Kristen Zarrella",2
"Kristin E. Morrill",2
"Kristina Kupanoff",2
"Kristina Terrani",2
"Krystal Kern",2
"Kseniia Korchagina",2
"Kun Qi",2
"Kunal Sharma",2
"Kwaku Sarpong Danso",2
"Kylar Nietzel",2
"Kyle A. Smith",2
"Kyle Ettinger",2
"Kyle M. Koss",2
"Kyra N. Hermanson",2
"LAURA RIBEIRO BERNARDINO",2
"LEDYMAR FONCAULT MORENO",2
"LEONARDO ELIAS PEREIRA",2
"Lalitha Madhavan",2
"Lana S Elali",2
"Laura E. McCann",2
"Laura Mercer",2
"Laura Meredith",2
"Laura Miller",2
"Laurel Bellante",2
"Laurence H. Hurley",2
"Laurent Pagnier",2
"Lawrence J. Mandarino",2
"Layla C. Lucas",2
"Laçin İdil Öztığ",2
"Lea McDaniel",2
"Leah V. Steyn",2
"Lei Wang",2
"Leigh Anne Goodman",2
"Leila Ali-Akbarian",2
"Lela Rankin Williams",2
"Leonid Kunyansky",2
"Lesley A. Guareña",2
"Liam McCreary",2
"Liane Ruddy",2
"Liang Jiang",2
"Lihao Guo",2
"Lila Boz",2
"Liliana Tong",2
"Lily Whitler",2
"Ling He",2
"Ling-Yu Chou",2
"Lingling An",2
"Linh N. Tran",2
"Lisa Hamilton",2
"Lisa M. Grisham",2
"Lisa M. Kopp",2
"Lisa Tran",2
"Lisa White",2
"Liu, Tuo",2
"Liu, Yiwen",2
"Logan Pearce",2
"Louise Marie Roth",2
"Loukas Lazos",2
"Lowell R. Smith",2
"Lucas Smith",2
"Lucia A. Cherep",2
"Luis A. Robles",2
"Luis C. Moll",2
"Lumi Hissataka",2
"Lydia L. Jennings",2
"Lyndon Rakusen",2
"Lynn Nadel",2
"M. Bonner Denton",2
"M. Brio",2
"M. D. Meko",2
"M. Jimena Rodríguez",2
"M. Lacy",2
"M. Lundquist",2
"M. Narter",2
"M. Taghipour",2
"MANUELA CARVALHO LEONEL",2
"MATHEUS JUNIOR MARTINS DA SILVA",2
"MIRELLI DE CASTRO CESÁRIO",2
"Ma Ai Thanda Han",2
"Madhan Shanmugasundaram",2
"Madison Hillis",2
"Maeve Wallace",2
"Maisam Jafri",2
"Maiya Matthews",2
"Majd B. Aboona",2
"Manan Rana",2
"Mandi J. Corenblum",2
"Manny Montoya",2
"Manushag N. Powell",2
"Manzeal Khanal",2
"Mao Ding",2
"Marcel G. Schaap",2
"Marco A. Contreras",2
"Marcos Delgadillo",2
"Maria K. Fotinos",2
"Maria Manriquez",2
"Maria Porter",2
"Maria Pudoka",2
"Mariana Manriquez",2
"Mariana McCune",2
"Marianne S. Matthias",2
"Mariel Ma",2
"Mark Kear",2
"Mark Peterson",2
"Martha R. C. Bhattacharya",2
"Martin Demant",2
"Marwan Sheckley",2
"Mary Alt",2
"Mary C. Stiner",2
"Mary Jo Tippeconnic Fox",2
"Maryam Emami",2
"Maryam Vaezi",2
"María Luz Fernández",2
"María Torres",2
"María del Carmen Márquez Carrasco",2
"Masafumi Seigo",2
"Matthew A. Jenks",2
"Matthew J. Danley",2
"Matthew M. Murphy",2
"Matthew R. Lujan",2
"Matthew W. Redondo",2
"Maureen Kelly Galindo",2
"Md Mubarak Hossain",2
"Md. Iqbal Hossain",2
"Megan A. Carney",2
"Megan Carver",2
"Megan J. Cracchiolo",2
"Megan Mueller",2
"Megan S. Laham",2
"Meghan B. Spyres",2
"Mehedi Hasan",2
"Meiyu Zhong",2
"Melanie Gin",2
"Mengtao Tang",2
"Mengyang Chang",2
"Meredith Hay",2
"Meredith Hovis",2
"Meredith K. Kupinski",2
"Micah Etter",2
"Michael A. Brunke",2
"Michael D. Katz",2
"Michael Fallon",2
"Michael Katz",2
"Michael Mustri",2
"Michael Phillips",2
"Michael Prim",2
"Michael R Ruta",2
"Michael T. Hartley",2
"Michael W. Belin",2
"Michael W. Riggs",2
"Michelle E. Chang",2
"Michelle Valenti",2
"Miguel A. Alarcón",2
"Milad Hasankhani",2
"Miles Fule",2
"Milin Patel",2
"Mindy Burnett",2
"Mingrui Yuan",2
"Mingwu Wang",2
"Mintallah Mousa A. Allouzi",2
"Minwoo Ahn",2
"Minying Cai",2
"Miquel Simonet",2
"Miranda J. Anderson",2
"Mitchell Davis",2
"Mitchell Hernandez",2
"Mitchell J. Bartlett",2
"Mohamed Abdelhabib",2
"Mohamed Sennary",2
"Mohammad Pessarakli",2
"Mohammed Th. Hassan",2
"Mohan Tanniru",2
"Mohan V. Belthur",2
"Mohanad Al‐Obaidi",2
"Moira Smith",2
"Molli Bryson",2
"Molly G. Sekar",2
"Momen Alsayed",2
"Momoka Sugimura",2
"Morgan Choi",2
"Mriganka Singh",2
"Muhammad Jawad",2
"Muhammad Umar Jawad",2
"Mylabathula, Preteesh L.",2
"Mónica C. Acevedo-Molina",2
"Mónica Chadha",2
"N Anugu (21884495)",2
"N. Kerrison",2
"NIVALDO GONÇALVES DE FARIA",2
"Nahla Zaghloul",2
"Nana Adwoa A Amoh-Asante",2
"Natalia A. Ignatenko",2
"Natalie Brassill",2
"Natalie Iannuzo",2
"Natalya Foreman",2
"Nathalie C. Zeitouni",2
"Nathalie Risso",2
"Nathan A Fielder",2
"Nathan Lothrop",2
"Nathan O. Allen",2
"Nathan Price",2
"Nathaniel Kim",2
"Natnael Daba",2
"Natzem Lima",2
"Neelima Marupudi",2
"Neill Prohaska",2
"Nekabari Yakpogoro",2
"Nguyen Dinh-Hung",2
"Nguyễn Thanh Lâm",2
"Nicholas A. Delamere",2
"Nicholas Ashton",2
"Nicholas J. Strausfeld",2
"Nicholas Jonas",2
"Nichole D. Mahnert",2
"Nick Walton",2
"Nicola Baker",2
"Nicolas Deshler",2
"Nicole M. De La Peña",2
"Nicole Melso",2
"Nicolás Garavito-Camargo",2
"Nicolás I López-Gálvez",2
"Niemiro, Grace M.",2
"Nikita G. Alexiades",2
"Nina Ma",2
"Nina Santa-Cruz",2
"Nina Vadiei",2
"Nirav Merchant",2
"Nkwi Flores",2
"Noah W. Tuchow",2
"Nolan Dunn",2
"Norma J. Perez‐Brena",2
"Norma Patricia Silva Beltrán",2
"Norma Patricia Silva-Beltrán",2
"O. Kuhn",2
"Oksana Pivniouk",2
"Oliver L. Kortenkamp",2
"Olivia Healy",2
"Olivia Mitchel",2
"Olusola Olabisi Ogunseye",2
"Oluwayemisi O Ayoade",2
"Omar Meziab",2
"Orazio Amabile",2
"Owais Salahudeen",2
"Owyn Stokes",2
"P. A. Deymier",2
"P. Li",2
"Pamela G. Reed",2
"Paola Tonino",2
"Paraskevi Flouda",2
"Parker Liu",2
"Parthasaradhireddy Tanguturi",2
"Patricia Moreira",2
"Patricia Prelock",2
"Patricia Thompson",2
"Patrick Jedlowski",2
"Patrick Rivers",2
"Patrick T. Ronaldson",2
"Paul Dybskiy",2
"Paul J. Wagner",2
"Paul Wagner",2
"Paulo Castañeda",2
"Pengyu Liu",2
"Perry Gilmore",2
"Peter C. Ellsworth",2
"Peter W. Jurutka",2
"Peter Waller",2
"Peña, Nicole A.",2
"Phillip H. Kuo",2
"Piaoran Ye",2
"Pierce Longmire",2
"Pintu Mahla",2
"Piper Sledge",2
"Pouria Mostafizi",2
"Pouya AliPanahi",2
"Pranabendu Moitra",2
"Pravarakhya Puppalla",2
"Preetesh L. Mylabathula",2
"Priscilla Magrath",2
"Prosanta Barai",2
"Prosper Babon-Ayeng",2
"Qiong Pan",2
"Qurat Ul An Sabir",2
"R A Bhalerao",2
"R. John Koshel",2
"R. P. J. Tilanus",2
"R.P. Erickson",2
"Rachel Battershell",2
"Rachel Cramton",2
"Rachel Munn",2
"Rafael A. Buerba",2
"Rafael Romero",2
"Ramandeep Kaur",2
"Randal O. Dull",2
"Rashi Bhushan",2
"Ravindra Dwivedi",2
"Ravishankar Palanivelu",2
"Ravitharan Krishnadasan",2
"Raymond J. Hawkins",2
"Raymond Q. Migrino",2
"Reagan Conner",2
"Rebecca Burton",2
"Rebecca C. Levy",2
"Rebecca Su",2
"Rees L. Lee",2
"Rein Anton",2
"Remo Nitschke",2
"Renée A. Duckworth",2
"Reyes Sierra‐Álvarez",2
"Ricardo Valerdi",2
"Richard E. Michod",2
"Richard L. Auran",2
"Richard L. Donnerstein",2
"Richard S. Glass",2
"Richard Towbin",2
"Richard V. Chua",2
"Richard W. Stoffle",2
"Rita Palanjian",2
"Robert Henderson",2
"Robert M. Blew",2
"Robert Melikyan",2
"Robert P. Stephan",2
"Robert Pollack",2
"Robert W. Bina",2
"Robson Cristiano Lillo Vizin",2
"Rodrigo Valenzuela Cordova",2
"Rogelio Robles‐Morales",2
"Rohan Bali",2
"Roland Himmelhuber",2
"Romi Castillo",2
"Ron B. Schifman",2
"Ron Driggers",2
"Ronald L. Breiger",2
"Ronald L. Heimark",2
"Rong Bai",2
"Ronnakrit Rattanasriampaipong",2
"Rorie Kleinsasser",2
"Rosa I. Luna-Ramirez",2
"Roselyn S. Amamoo",2
"Ruhul Ali Khan",2
"Rui Chang",2
"Rukayat Aromokeye",2
"Ruoshan Lan",2
"Russell B. Toomey",2
"Russell K. Monson",2
"Ruth E. Taylor‐Piliae",2
"Ruth M. López",2
"Ryan A. Bunyard",2
"Ryan Shin",2
"Ryan Walton Mitstifer",2
"S. Hyman",2
"S. Wyatt",2
"SAILENDRA CHUNDU",2
"Saad Sammani",2
"Sabrina M. McNew",2
"Sadaf Raoufi",2
"Sadhana Ravishankar",2
"Sage Quiggle",2
"Said Attalah",2
"Saif Mashaqi",2
"Salvatore C. Lettieri",2
"Samantha J. Werts",2
"Samara Klar",2
"Sambamurthy Chandrasekaran",2
"Samuel Byrne",2
"Samuel D. Crossley",2
"Samuel Unzek",2
"Sandip Ashok Sonar",2
"Sandiway Fong",2
"Sandra Ortega Ramirez",2
"Sandy Klasa",2
"Sanjay Polisetty",2
"Santana Solomon",2
"Sara C. Kisiel",2
"Sarah A. Mathena",2
"Sarah Barrales",2
"Sarah Bratt",2
"Sarah George",2
"Sarah L. Cohen Rassier",2
"Sarah M. Prasek",2
"Sarah M. Tyler",2
"Sarah Turner",2
"Sarrah Hannon",2
"Saurabh Kaushik",2
"Savdeep Singh",2
"Scott C. Silvestry",2
"Scott J. Sherman",2
"Sean Bong Lee",2
"Sean J.X. Chen",2
"Sean Lee",2
"Sean M. Mahoney",2
"Sean P. Elliott",2
"Sebastian Zeltzer",2
"Seckeler, Michael D.",2
"Senthil Kumar Thulasingam",2
"Seokjun Youn",2
"Seong-won Han",2
"Seph M. Palomino",2
"Sergio Yanez-Pagans",2
"Serkan Aglasan",2
"Seth Asare Okyere",2
"Shahriar Golchin",2
"Shailender S. Chauhan",2
"Shane Byrne",2
"Shannon Alsobrooks",2
"Shannon McCabe",2
"Shantom Kumar Borah",2
"Shaowen Bao",2
"Shashank Yadav",2
"Sheila E. Whitman",2
"Sheila M. Gephart",2
"Sheila Soto",2
"Shelby Herrick",2
"Shengyi Shen",2
"Sheyda Mesgarzadeh",2
"Shima Sadri",2
"Shirzad Hosseinverdi",2
"Shivanand Bomman",2
"Shreya P. Ramkumar",2
"Shuang Wu",2
"Shuyuan Guan",2
"Siamac Yazdchi",2
"Simar Singh",2
"Simpson, Richard J.",2
"Smith, Kyle A.",2
"Snider, Justin M.",2
"Solvay Blomquist",2
"Sona Wolf",2
"Song Yi Kim",2
"Songcui Hu",2
"Sonia Colina",2
"Soodabeh Namdari",2
"Sophia Buttny",2
"Soumya Reddy Musku",2
"Sowjanya Yenigalla",2
"Srikar R. Adhikari",2
"Srinivasa Sunil Chippada",2
"Stefan Forschner",2
"Stefanie M. Novak",2
"Steffan T. Nawrocki",2
"Stephanie Doner",2
"Stephanie Mallahan",2
"Stephanie Matijevic",2
"Stephanie Nulty",2
"Stephanie Slinski",2
"Stephen A. Klotz",2
"Stephen G. Kukolich",2
"Stephen J. Scholand",2
"Stephen L. Cowen",2
"Steven Dudick",2
"Steven W. Leavitt",2
"Stuart A. Craig",2
"Subodh Kumar Samrat",2
"Suchol Savagatrup",2
"Sukhwan Jung",2
"Sultana Mojadidi",2
"Sun Yong Kim",2
"Sunder Sethuraman",2
"Sunwoo Lee",2
"Supranta S. Boruah",2
"Susan Brewer-Osorio",2
"Susan Hamman",2
"Sushmita Bhandari",2
"Sydney Cordova",2
"T. Burton",2
"Taejeong Song",2
"Tahsin Afroz Hoque Nishat",2
"Tai Kong",2
"Taiwo Ajayi",2
"Takeshi Inomata",2
"Tala Curry",2
"Talia G. Anderson",2
"Talitha H. Neesham-McTiernan",2
"Tamar Kugler",2
"Tara Ghalambor",2
"Tarek Masannat",2
"Tatiana Rastoskueva",2
"Taucia González",2
"Tauhidur Rahman",2
"Ted Liang-Tai Lee",2
"Teng Ma",2
"Teodora Georgieva",2
"Terry L. Hunt",2
"Thabo Makgoale",2
"Thais Rodrigues Cons",2
"Theresa A. Grebe",2
"Tho H Pham",2
"Thomas C. Moore",2
"Thomas Christiano",2
"Thomas G. Knapp",2
"Thomas Koch",2
"Thomas Q. Zheng",2
"Tiago Martins de Azevedo",2
"Tian-Chyi Jim Yeh",2
"Tiantian Zhou",2
"Tianyang Xie",2
"Tianyi Wang",2
"Tiffany M. Zúñiga",2
"Tiffany N. Luu",2
"Timothy M. Kuzel",2
"Timothy R Harris",2
"Tobias Jakobi",2
"Tom Kennedy",2
"Tonatiuh Sánchez-Vizuet",2
"Torsten Falk",2
"Trish Elliott",2
"Ty P. A. Ferré",2
"Tyler A. On",2
"Tyler Brady",2
"Tyler Gallo",2
"Unai Urreiztieta",2
"Valerie R. Milici",2
"Vance G. Nielsen",2
"Vanessa M. Huxter",2
"Varner, Alana",2
"Vasilis Tsakagiannis",2
"Velma Ganga Reddy",2
"Victor Okpanachi",2
"Victoria Curfman",2
"Victoria J. Luizzi",2
"Victoria Obergh",2
"Vigyasa Singh",2
"Vikas Yadav",2
"Vlad K. Kumirov",2
"Vladimir I. Vladimirov",2
"Vrinda Arora",2
"W. B. Hubbard",2
"W.R. Montfort",2
"Waleed M. Elhelaly",2
"Wanda Moore",2
"Wei Xu",2
"Wei Zhou",2
"Weizhu Yang",2
"Wen Zhang",2
"Wenting Luo",2
"Wilber Su",2
"William J. Degnan",2
"William Lainhart",2
"Winona C. Esher",2
"Wujing Dai",2
"Xiaodong Yan",2
"Xiaolong Lu",2
"Xiaoqin Fu",2
"Xu Han",2
"Xuan Li",2
"Xuan Lü",2
"Y. G. Li",2
"Yan Liang",2
"Yang Wang",2
"Yang Zhan",2
"Yang Zhang",2
"Yanhao Jiang",2
"Yasaman Fazeli",2
"Yash Rohilla",2
"Yasmine Tabdili",2
"Yeonjin Baek",2
"Yevheniia Varyvoda",2
"Yichen Liu",2
"Yicheng Leng",2
"Yilin Liu",2
"Yiwen Liu",2
"Yotam Shmargad",2
"Youkun Huang",2
"Youngsik Kim",2
"Yousra Abourehab",2
"Yu Shi",2
"Yuhua Yu",2
"Yunjia Yang",2
"Z Nicolazzo",2
"Z. Zeszut",2
"Zaraq Khan",2
"Zdeněk Slanina",2
"Zhaowei Chen",2
"Zhaoxin Zhang",2
"Zhennan Wang",2
"Zhenyu Qi",2
"Zhi Li",2
"Zhiren Wang",2
"Zhuangzhuang Chen",2
"Zichan Wang",2
"Ziqi Wang",2
"Ziyang Liu",2
"Ziyuan Wang",2
"Zuyi Chen",2
"Zuzana Adams",2
"Zúñiga, Tiffany M.",2
"von Hippel, Frank A.",2
"A A Sefilian",1
"A Albright",1
"A Marcelo Martínez",1
"A Nejad",1
"A Reichsfeld",1
"A. Akoglu",1
"A. Barros",1
"A. Bejarano",1
"A. C. Becker",1
"A. Chandrasekar",1
"A. Derma",1
"A. Dixon-Kleiber",1
"A. Ederer",1
"A. G. Safarova",1
"A. Harrison",1
"A. K. Bhatia",1
"A. M. Parks",1
"A. Nelson",1
"A. P. M. Towner",1
"A. R. Doery",1
"A. R. Gibbs",1
"A. Ramachandra Rao",1
"A. Robert ROOT",1
"A. Rosenbaum",1
"A. S. G. Robotham",1
"A. S. McEwen",1
"A. Saravana",1
"A. Schilling",1
"A. Suttichodkul",1
"A. Taborovets",1
"A. Tatsch",1
"A. Vicenti",1
"A. Vijaykumar",1
"A.G.J. Holt",1
"A.P. Zhukov",1
"AB Niculescu",1
"AMANDA DE CASSIA TOLEDO ALMEIDA BRAGA",1
"ANA BEATRIZ DA SILVA",1
"ANA BEATRIZ GONÇALVES DUARTE",1
"ANA CAROLINA GONÇALVES DA SILVA",1
"ANA CLARA CUNHA MONTEIRO",1
"ANA FLÁVIA DE OLIVEIRA CARVALHO",1
"ANDREZA DE AGUIAR HUGO",1
"ANDRÉ SILVEIRA TURRIONI",1
"ARTUR XAVIER REIS",1
"ATILIO FERNANDO PILATI NETO",1
"Aamir Raj Lamichhane",1
"Aaron Bugaj",1
"Aaron Byrd",1
"Aaron L Heston",1
"Aaron Larsen",1
"Aaron Middleton",1
"Aaron W. McGee",1
"Aaron Young",1
"Aazam Virani",1
"Abarajithan Chandrasekaran",1
"Abbas Soroush",1
"Abdul Ahad Khan",1
"Abdul Masri",1
"Abdullah Mohammad Tanvirul Hoque",1
"Abe Macy",1
"Abeeha Naqvi",1
"Abhilasha Vishwanath",1
"Abhiram Nandimandalam",1
"Abhishek C. Sawant",1
"Abhishek Nanoti",1
"Abigail Camenisch",1
"Abigail Little",1
"Abigail Page",1
"Abishek Adhikari",1
"Abolhassan Mohammadi Fathabad",1
"Abra McAndrew",1
"Abram Young",1
"Abu S.M.G. Kibria",1
"Adam Block",1
"Adam C. Carl",1
"Adam Clark",1
"Adam Dean",1
"Adam Douglas Henry",1
"Adam Gelman",1
"Adam Grabowski",1
"Adam Habib",1
"Adam Skora",1
"Adam Ziegler",1
"Adan Baca",1
"Addison Plummer",1
"Addison Seckar-Martinez",1
"Addison William Alley",1
"Adel Al-Ghazwi",1
"Adeline Gan",1
"Adeyemi A. Adebiyi",1
"Aditi Birwadkar",1
"Aditya Dutt",1
"Aditya P. Adiredja",1
"Adrian Delgadillo",1
"Adrian Drake De la Peña",1
"Adrian J. Wurr",1
"Adrian T. Onyx",1
"Adrienne C. Scheck",1
"Adrienne Hollen",1
"Adèle Plat",1
"Afridi Hasan",1
"Agrim Sachdeva",1
"Ahmad Shamail",1
"Ahmed Albadi",1
"Ahmed Eid",1
"Ahmed Elkamel",1
"Ahmed Hussain J Alhamadah",1
"Ahmed Khalil Attia",1
"Ahmed Saleh",1
"Ahmet B. Gungor",1
"Aida Calderón‐Rivera",1
"Aidan Fritzler",1
"Aidan McMahon",1
"Aidan Rhodes",1
"Aiden Abidov",1
"Aiden M. Phoebe",1
"Aileen Gabriel",1
"Ainslie E. Schultz",1
"Aiza Kabeer",1
"Ajay Doniparthi",1
"Akhil Baby",1
"Aki Hara",1
"Akira Folk",1
"Akshita Sharma",1
"Al Conrad",1
"Aladdin H. Shadyab",1
"Alan E. Bernstein",1
"Alan J. Welch",1
"Alan Johnston",1
"Alan Juarez",1
"Alan Salciccioli",1
"Alana M. Hendrickson",1
"Alannah Bell",1
"Albert Alan",1
"Albertina Antognini",1
"Alec Frisvold",1
"Alec Maloney",1
"Alejandro Nava",1
"Alejandro Recio Boiles",1
"Aleksey Prok",1
"Aleksi J. Hendricks",1
"Alena Wigodner",1
"Alessandra Fistrovich",1
"Alessandro Guimarães",1
"Alex Burton",1
"Alex Gardner",1
"Alex H. Brown",1
"Alex Higuera Piere Noel",1
"Alex Higuera Pierre Noel",1
"Alex Karnish",1
"Alex Lanthiez",1
"Alex Ponce",1
"Alex Ruuska",1
"Alex Ryan",1
"Alex Saunders",1
"Alexa Aucoin",1
"Alexa Cook",1
"Alexa Martinez",1
"Alexa R. Marcovecchio",1
"Alexander A. Stewart",1
"Alexander B. Neely",1
"Alexander B. Niculescu",1
"Alexander Berian",1
"Alexander Danehy",1
"Alexander G. Hilser",1
"Alexander M. Simon",1
"Alexander M. Stewart",1
"Alexander N. Rose",1
"Alexander W. Martin",1
"Alexandra M. Garvin",1
"Alexandra McNally",1
"Alexandra Nguyen",1
"Alexandra Shilen",1
"Alexandra Trahan",1
"Alexandre Emsenhuber",1
"Alexandre Florent Nolin",1
"Alexandria Renault",1
"Alexandros Moniakis",1
"Alexe G. Delval",1
"Alexey V. Dvornikov",1
"Alexis Aguilar",1
"Alexis B. Cruickshank‐Taylor",1
"Alexis C. Bailey",1
"Alexis Elliott",1
"Alexis N. Garcia",1
"Alexis N. Goad",1
"Alexsia Martinez",1
"Alfred L.M. Bothwell",1
"Ali Arjmandi",1
"Ali Baaj",1
"Ali Qasemi",1
"Ali Rıza Köksal",1
"Ali Talib Mohammed",1
"Alice E Solomon",1
"Alice Kwak",1
"Alicia Kaneb",1
"Alicia Monzalvo Curiel",1
"Aline Cristina Maciel",1
"Alisia C. Gunderson",1
"Alison Elder",1
"Alison Ercole",1
"Alison Luongo",1
"Alison Mirin",1
"Alison Stopeck",1
"Allan J. Hamilton",1
"Allan T. Mense",1
"Allen T. Yu",1
"Allie Blackham",1
"Allie Denham",1
"Allison Rubenok",1
"Allison Staib",1
"Allison Stuewe",1
"Allison Yu-Chin Chen",1
"Allistair Nathan",1
"Allysha Yasuda",1
"Allyson Molzahn",1
"Allyson Placko",1
"Alma Anderson",1
"Alma Reasoner",1
"Alma Tejeda Padron",1
"Alondra Cardona",1
"Alyssa Little",1
"Alyssa N. Garcia",1
"Alyssa Robillard",1
"Alyssa Sachs",1
"Amadou Tall",1
"Amal Yousseef",1
"Aman Chandra",1
"Amanda Carvalho",1
"Amanda H. Gong",1
"Amanda Howe",1
"Amanda Hurtig",1
"Amanda Parkman",1
"Amanda Sokan",1
"Amanda Triplett",1
"Amanda da Silva Salomão",1
"Amani Albadawi",1
"Ambar Andrade",1
"Amber Gordon",1
"Amber M. Dalke",1
"Amber N. Clements",1
"Amber Parker",1
"Ameer Nessaee",1
"Amelia B. Knochel",1
"Amelia Luadtke",1
"Amir Mohammad Esmaieeli Sikaroudi",1
"Amir Ouyed",1
"Amir Parsa Abhari",1
"Amir-Mohammad Esmaieeli-Sikaroudi",1
"Amit Amra",1
"Amit Arora",1
"Ammoose K. Jayan",1
"Amnon Rapoport",1
"Amritpal Kooner",1
"Amy C. Kimme Hea",1
"Amy Davis",1
"Amy Fountain",1
"Amy Hermann",1
"Amy Mainzer",1
"Amy Skarsfeldt",1
"Ana Acuña Morales",1
"Ana Carvalho",1
"Ana Izabella Freire",1
"Anastasia Amoiroglou",1
"Anastasiia Vasileva",1
"Anastasija Martinovic",1
"Anastasiya Pocheptsova Ghosh",1
"Anca Barla",1
"Andee Lister",1
"Andi Medrano",1
"Andre F. Wong",1
"Andrea Aguirre",1
"Andrea Alatorre",1
"Andrea Carolina Vazquez-Loreto",1
"Andrea F. Corral",1
"Andrea Ferrari",1
"Andrea Gonzolez",1
"Andrea L. Casillas",1
"Andrea M Coppola",1
"Andrea Moreno",1
"Andreas Damianos",1
"Andrei Alexandrov",1
"Andres D. Vizzerra",1
"Andres Galves",1
"Andrew E. Page",1
"Andrew G. Kunihiro",1
"Andrew G. Lee",1
"Andrew Ishikawa",1
"Andrew J. Dull",1
"Andrew Kim",1
"Andrew L. Paek",1
"Andrew M. Welch",1
"Andrew N. Patton",1
"Andrew N. Youdin",1
"Andrew P. Maurer",1
"Andrew Rivera",1
"Andrew Sheen",1
"Andrew Steinmetz",1
"Andrew T. Powell",1
"Andrew Talon",1
"Andrew Tang",1
"Andrew W. Legan",1
"Andrew Wang",1
"Andrew Wedel",1
"Andrew Zaffos",1
"Andréia Z. Chignalia",1
"Andy Monson",1
"Anesu S. Masango",1
"Ang Li",1
"Angela Mariah Locke",1
"Angela Monetathchi",1
"Angela Puthenveetil",1
"Angela White",1
"Angelica Galdamez-Avila",1
"Angelina Serratos",1
"Angus Kennedy",1
"Angus Leydic",1
"Ani Chitransh",1
"Anil Minocha",1
"Anirban Kundu",1
"Anisha Apte",1
"Anita Bharath",1
"Anja C. Mortensen",1
"Anjali Ashtaputre",1
"Anjali S. Kumar",1
"Ankit Tripathi",1
"Ann H. Harris",1
"Ann M. Lynch",1
"Ann Youberg",1
"Anna Catherine Lemon",1
"Anna Dornhaus",1
"Anna Hyndych",1
"Anna L. Waterbrook",1
"Anna M. Murveit",1
"Anna Marcucci",1
"Anna Medvedovsky",1
"Anna Nguyen",1
"Anna Rebaza Morillo",1
"Anna Ruth Taylor",1
"Anna Sanova",1
"Anna Williams",1
"Anna‐Karin Hurtig",1
"Anne L. Wright",1
"Anne M. Anderson",1
"Anne M. Macy",1
"Anne M. Wertheimer",1
"Anne Margaret Chenchar",1
"Anne Pippin Burnett",1
"Anne R. Titelbaum",1
"Anne Shearin",1
"AnneLeigh Twer",1
"Annemarie Anderson",1
"Anngela Christina Adams",1
"Annie Abraham",1
"Annie I. Chen",1
"Anshul Arora",1
"Anthony E. Somers",1
"Anthony J. Dant",1
"Anthony J. Pawlicki",1
"Anthony M. Avellino",1
"Anthony Maltagliati",1
"Antonio Coronado",1
"António Guimarães",1
"Antônio Carlos Ancelotti",1
