"ua_author_names","n"
"Bruce E. Tabashnik",5
"Bárbara Carrapa",5
"Caleb Warren",5
"Chengcheng Hu",5
"Chi Nguyen",5
"Chiyoung Lee",5
"Christian Bime",5
"Christopher W. Hamilton",5
"Craig Rasmussen",5
"Cristian Román‐Palacios",5
"D. N. DellaGiustina",5
"Daniel Brignac",5
"Daniel E. Martínez",5
"Daniel M. Krolikowski",5
"David Castellano",5
"David E. Nix",5
"David J. Brady",5
"David O. Garcia",5
"Deepak Acharya",5
"Dirk Heumann",5
"Dominique O Farrera",5
"Donata Vercelli",5
"Dongkyun Kang",5
"Douglas A. Loy",5
"Eduardo Blanco",5
"Elizabeth Rasmussen",5
"Erik Asphaug",5
"Ernest R. Vina",5
"Ethan Olson",5
"Eugene H. Chang",5
"Fiona McCarthy",5
"Flurin Babst",5
"Fox Bravo",5
"Geoffrey C. Gurtner",5
"Geovana Martín-Alemañy",5
"God'sgift N Chukwuonye",5
"Gondy Leroy",5
"Grace Betito",5
"Gregory R. J. Thatcher",5
"Gregory Woodhead",5
"Halimatou Alaofè",5
"Hasan Ozgur",5
"Heidi Hamann",5
"Helena Batatinha",5
"Hossein Yousefi Sohi",5
"Ian J. Arnold",5
"Ignacio A. Rojas",5
"Igor Kozak",5
"JULIANA HELENA DAROZ GAUDENCIO",5
"James K. Liao",5
"Janet Cooley",5
"Jasmine R. Linabary",5
"Jason Corliss",5
"Jennifer Erdrich",5
"Jennifer P. Kitzmann",5
"Jennifer S. De La Rosa",5
"Jessica G. Rainbow",5
"Jianqiang Cheng",5
"Jiazhang Wang",5
"Jing Liu",5
"Jinyoung Serena Kim",5
"Jonas Marschall",5
"Jonathan S. Lee-Confer",5
"Joseph S. Alpert",5
"Joshua B. Gaither",5
"Joshua D Garren",5
"Josie Acuña",5
"Joyce Lee‐Iannotti",5
"Juan C. Arias",5
"Judith Su",5
"Julie Armin",5
"Jun Isoe",5
"Justin Hom",5
"Karolina Perez",5
"Kathryne J. Daniel",5
"Kellen Chen",5
"Kenneth N. Barker",5
"Kenneth W. Liechty",5
"Kerry K. Cooper",5
"Kevin Wagner",5
"Kyle Van Gorkom",5
"LEONARDO LOURENÇO DE SOUZA",5
"Lael Vetter",5
"Laurent Martin",5
"Luciano M. Matzkin",5
"Luke A. McGuire",5
"Maha Nassar",5
"Mahsa Asadi Anar",5
"Maia Ingram",5
"Manisha Shrestha",5
"Marat I. Latypov",5
"Marisa DiMarzio",5
"Marissa N. Trujillo",5
"Marvin J. Slepian",5
"Mary‐Frances O'Connor",5
"Matheus Costa Pereira",5
"Matthew J. Huentelman",5
"Meghan B. Skiba",5
"Mei Methawasin",5
"Melanie Culver",5
"Michael A. Riehle",5
"Michael Ditillo",5
"Michael S. Bullock",5
"Michelle Anthony",5
"Mihai Surdeanu",5
"Mohammad Ali Farmani",5
"Mohammad Khreiss",5
"Muhammad Waqas",5
"Muralidhar M. Balaji",5
"Natalie E. Scholpa",5
"Nathan J. Cherrington",5
"Neha Gupta",5
"Nell Maltman",5
"Nicholas Bishop",5
"Ning Hao",5
"Oliver L. A. Monti",5
"Olivier Guyon",5
"Oluwaseun Fapohunda",5
"P. Thomé",5
"Pamela Garcia‐Filion",5
"Patricia L. Haynes",5
"Patrick Ingraham",5
"Paweł Łaniewski",5
