"partners","num_papers"
"Vrije Universiteit Brussel",11
"Cape Town HVTN Immunology Laboratory / Hutchinson Centre Research Institute of South Africa",10
"Dalhousie University",10
"Delft University of Technology",10
"Eötvös Loránd University",10
"Federico II University Hospital",10
"Foundation for Research and Technology Hellas",10
"Fundación Universitaria Sanitas",10
"Hebrew University of Jerusalem",10
"Hohai University",10
"Hong Kong Polytechnic University",10
"Indian Institute of Science Bangalore",10
"Institut de Radioastronomie Millimétrique",10
"Instituto de Estudios Avanzados",10
"Karlsruhe Institute of Technology",10
"Kyoto University",10
"National Central University",10
"Newcastle University",10
"Radboud University Medical Center",10
"Southern University of Science and Technology",10
"Technische Universität Dresden",10
"The University of Osaka",10
"UCLouvain",10
"Universidad Nacional de Colombia",10
"Universidade de Santiago de Compostela",10
"University Health Network",10
"University of Antananarivo",10
"University of Cologne",10
"University of Ferrara",10
"University of Lausanne",10
"University of Potsdam",10
"University of Turku",10
"Amsterdam Neuroscience",9
"Beijing Institute of Technology",9
"Centre for Theoretical Physics and Astrophysics",9
"Charles University",9
"Chiba University",9
"Consejo Superior de Investigaciones Científicas",9
"Flinders University",9
"German Center for Neurodegenerative Diseases",9
"Hospital de Sant Pau",9
"Institute of Astrophysics and Space Sciences",9
"Instituto Nacional de Pesquisas Espaciais",9
"Instituto de Geofísica y Astronomía",9
"Instituto de Salud Carlos III",9
"Iran University of Medical Sciences",9
"KTH Royal Institute of Technology",9
"Korea University",9
"Leiden University Medical Center",9
"Mahidol University",9
"Nanyang Technological University",9
"National Institute for Subatomic Physics",9
"Natural History Museum",9
"Qatar University",9
"Royal Botanic Garden Edinburgh",9
"Simon Fraser University",9
"The Open University",9
"Tianjin University",9
"Umeå University",9
"Universidad de Granada",9
"Universidade do Porto",9
"University of Iceland",9
"University of KwaZulu-Natal",9
"University of Ottawa",9
"University of Tarapacá",9
"University of Tasmania",9
"University of Tübingen",9
"Universitätsklinikum Erlangen",9
"Université Laval",9
"Vrije Universiteit Amsterdam",9
"Wuhan University",9
"Xi'an Jiaotong University",9
"York University",9
"Assistance Publique – Hôpitaux de Paris",8
"Barts Health NHS Trust",8
"Bjerknes Centre for Climate Research",8
"Chongqing University",8
"Commonwealth Scientific and Industrial Research Organisation",8
"Curtin University",8
"Environment and Climate Change Canada",8
"Freie Universität Berlin",8
"Fudan University",8
"Gemini South Observatory",8
"German Centre for Cardiovascular Research",8
"German Centre for Integrative Biodiversity Research",8
"Ghent University Hospital",8
"Hamad Medical Corporation",8
"Hiroshima University",8
"Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo",8
"Huazhong University of Science and Technology",8
"Korea Advanced Institute of Science and Technology",8
"Leibniz University Hannover",8
"McGill University Health Centre",8
"Memorial University of Newfoundland",8
"Nanjing University of Information Science and Technology",8
"National Institute of Astrophysics, Optics and Electronics",8
"National Tsing Hua University",8
"Nazarbayev University",8
"Oeschger Centre for Climate Change Research",8
"Roma Tre University",8
